Designator,Footprint,Quantity,Value,LCSC Part #
"AO3403A1, AO3403A2, AO3403A3, AO3403A4, AO3403A5, AO3403A6, AO3403A7, AO3403A8",AO3403A,8,~,
C1,0402,1,0.22u,
C2,0402,1,0.1u,
"IC1, IC2",SOT-23-6,2,SN74LVC2G04DBVR,
IC3,VSSOP-8_2.3x2mm_P0.5mm,1,SN74LVC2G32DCURG4,
IC4,SOIC127P600X175-14N - IC4,1,"74HCT11PW,118",
IC5,SOT-363_SC-70-6,1,NL17SZ11DBVT1G,
IC6,SSOP-8_2.95x2.8mm_P0.65mm,1,TC7W08FU,
IC7,SOT230P700X180-4N,1,LM7805MPX_NOPB,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,B4B-EH-A_LF__SN_,
"J2, J3, J4, J6",691216510002S,4,691216510002S,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"Q1, Q10, Q11, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23-3,11,AO3400A,
"R1, R10, R11, R12, R13, R2, R3, R4, R5, R55, R59, R6, R63, R7, R8, R9",0603,16,100R,
"R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27",0603,14,82R,
"R28, R31, R34, R37, R40, R43, R46, R49, R52, R56, R60",0603,11,10,
"R29, R30, R32, R33, R35, R36, R38, R39, R41, R42, R44, R45, R47, R48, R50, R51, R53, R54, R57, R58, R61, R62",0603,22,10k,
"RS-3535MWAR1, RS-3535MWAR10, RS-3535MWAR11, RS-3535MWAR12, RS-3535MWAR13, RS-3535MWAR14, RS-3535MWAR2, RS-3535MWAR3, RS-3535MWAR4, RS-3535MWAR5, RS-3535MWAR6, RS-3535MWAR7, RS-3535MWAR8, RS-3535MWAR9",RS-3535MWAR,14,~,
