Designator,Mid X,Mid Y,Rotation,Layer
AO3403A1,130.7125,-121.635,0.0,top
AO3403A2,116.6725,-115.485,0.0,top
AO3403A3,116.2025,-105.205,0.0,top
AO3403A4,172.7475,-77.175,180.0,top
AO3403A5,172.9825,-123.115,0.0,top
AO3403A6,154.1175,-115.745,180.0,top
AO3403A7,141.2875,-114.555,180.0,top
AO3403A8,101.395,-101.1975,90.0,top
C1,107.25,-96.75,270.0,top
C2,107.25,-99.77,90.0,top
IC1,176.25,-96.75,90.0,top
IC2,184.75,-86.25,90.0,top
IC3,156.5,-76.25,270.0,top
IC4,134.75,-76.0,270.0,top
IC5,148.0,-76.25,270.0,top
IC6,164.25,-75.75,270.0,top
IC7,112.9,-98.2,0.0,top
J1,191.58,-89.05,90.0,top
J2,157.28,-123.78,180.0,top
J3,138.88,-123.87,180.0,top
J4,103.93,-109.51,90.0,top
J5,103.5,-87.96,0.0,top
J6,116.54,-76.0,0.0,top
Q1,185.0,-116.5,180.0,top
Q10,138.0875,-114.585,90.0,top
Q11,101.0,-97.5,180.0,top
Q2,182.495,-104.8,0.0,top
Q3,181.86,-94.53,0.0,top
Q4,126.255,-125.8,180.0,top
Q5,112.0,-119.0,180.0,top
Q6,112.0,-108.5,180.0,top
Q7,177.0,-75.0,0.0,top
Q8,168.5,-125.25,180.0,top
Q9,150.8475,-115.725,90.0,top
R1,125.0,-118.0,0.0,top
R10,125.0,-83.53847,0.0,top
R11,125.0,-100.769234,0.0,top
R12,125.0,-106.512822,0.0,top
R13,125.0,-112.25641,0.0,top
R14,170.0,-117.0,180.0,top
R15,170.0,-111.42307,180.0,top
R16,170.0,-105.84615,180.0,top
R17,170.0,-83.53847,180.0,top
R18,170.0,-89.11539,180.0,top
R19,170.0,-94.69231,180.0,top
R2,170.0,-114.21153,180.0,top
R20,170.0,-100.26923,180.0,top
R21,125.0,-97.89744,0.0,top
R22,125.0,-92.153852,0.0,top
R23,125.0,-86.410264,0.0,top
R24,125.0,-103.641028,0.0,top
R25,125.0,-109.384616,0.0,top
R26,125.0,-115.128204,0.0,top
R27,147.5,-124.5,180.0,top
R28,184.75,-113.25,180.0,top
R29,181.25,-116.5,90.0,top
R3,170.0,-108.63461,180.0,top
R30,185.0,-119.25,180.0,top
R31,187.0,-106.925,90.0,top
R32,186.82,-103.8,0.0,top
R33,182.5,-108.25,0.0,top
R34,187.23,-94.41,270.0,top
R35,185.25,-94.41,270.0,top
R36,182.175,-91.75,0.0,top
R37,126.43,-122.5,180.0,top
R38,122.25,-126.0,90.0,top
R39,130.255,-126.05,270.0,top
R4,170.0,-86.32693,180.0,top
R40,111.835,-115.61,180.0,top
R41,108.41,-118.785,90.0,top
R42,116.66,-119.36,0.0,top
R43,112.0,-105.0,180.0,top
R44,111.86,-111.63,180.0,top
R45,116.25,-109.5,0.0,top
R46,177.505,-77.8,0.0,top
R47,180.255,-75.05,270.0,top
R48,172.68,-73.8,180.0,top
R49,168.245,-121.95,180.0,top
R5,170.0,-91.90385,180.0,top
R50,164.21,-123.41,90.0,top
R51,172.995,-126.45,0.0,top
R52,148.95,-112.09,180.0,top
R53,148.03,-115.21,90.0,top
R54,152.7,-112.04,180.0,top
R55,157.56,-116.73,0.0,top
R56,141.59,-111.06,180.0,top
R57,135.25,-115.0,90.0,top
R58,144.25,-113.46,90.0,top
R59,141.65,-116.51,0.0,top
R6,170.0,-97.48077,180.0,top
R60,104.0,-95.0,90.0,top
R61,100.34,-95.05,0.0,top
R62,105.61,-100.77,90.0,top
R63,104.0,-98.075,270.0,top
R7,170.0,-103.05769,180.0,top
R8,125.0,-95.025646,0.0,top
R9,125.0,-89.282058,0.0,top
RS-3535MWAR1,162.0,-115.0,180.0,top
RS-3535MWAR10,142.0,-105.0,0.0,top
RS-3535MWAR11,137.0,-110.0,0.0,top
RS-3535MWAR12,132.0,-115.0,0.0,top
RS-3535MWAR13,147.0,-100.0,180.0,top
RS-3535MWAR14,147.5,-121.0,0.0,top
RS-3535MWAR2,157.0,-110.0,180.0,top
RS-3535MWAR3,152.0,-105.0,180.0,top
RS-3535MWAR4,162.0,-86.0,180.0,top
RS-3535MWAR5,157.0,-90.7,180.0,top
RS-3535MWAR6,152.0,-95.25,180.0,top
RS-3535MWAR7,142.0,-95.25,0.0,top
RS-3535MWAR8,137.0,-90.7,0.0,top
RS-3535MWAR9,132.0,-86.0,0.0,top
